Year,Year ending,Sex,Age Group,Offence Division,Alleged Offender Incidents
2021,December,Males,18-19 years,D Public order and security offences,701
2021,December,Males,18-19 years,E Justice procedures offences,606
2021,December,Males,18-19 years,F Other offences,718
2021,December,Males,20-24 years,A Crimes against the person,"4,476"
2021,December,Males,20-24 years,B Property and deception offences,"4,760"
2021,December,Males,20-24 years,C Drug offences,"1,582"
2021,December,Males,20-24 years,D Public order and security offences,"1,478"
2021,December,Males,20-24 years,E Justice procedures offences,"2,028"
2021,December,Males,20-24 years,F Other offences,"1,730"
2021,December,Males,25-29 years,A Crimes against the person,"5,219"
2021,December,Males,25-29 years,B Property and deception offences,"5,772"
2021,December,Males,25-29 years,C Drug offences,"1,618"
2021,December,Males,25-29 years,D Public order and security offences,"1,504"
2021,December,Males,25-29 years,E Justice procedures offences,"2,868"
2021,December,Males,25-29 years,F Other offences,"1,377"
2021,December,Males,30-34 years,A Crimes against the person,"5,266"
2021,December,Males,30-34 years,B Property and deception offences,"5,922"
2021,December,Males,30-34 years,C Drug offences,"1,538"
2021,December,Males,30-34 years,D Public order and security offences,"1,450"
2021,December,Males,30-34 years,E Justice procedures offences,"3,128"
2021,December,Males,30-34 years,F Other offences,976
2021,December,Males,35-39 years,A Crimes against the person,"4,864"
2021,December,Males,35-39 years,B Property and deception offences,"5,242"
2021,December,Males,35-39 years,C Drug offences,"1,375"
2021,December,Males,35-39 years,D Public order and security offences,"1,360"
2021,December,Males,35-39 years,E Justice procedures offences,"3,220"
2021,December,Males,35-39 years,F Other offences,731
2021,December,Males,40-44 years,A Crimes against the person,"4,134"
2021,December,Males,40-44 years,B Property and deception offences,"3,682"
2021,December,Males,40-44 years,C Drug offences,"1,085"
2021,December,Males,40-44 years,D Public order and security offences,"1,199"
2021,December,Males,40-44 years,E Justice procedures offences,"2,990"
2021,December,Males,40-44 years,F Other offences,620
2021,December,Males,45-49 years,A Crimes against the person,"3,383"
2021,December,Males,45-49 years,B Property and deception offences,"2,427"
2021,December,Males,45-49 years,C Drug offences,762
2021,December,Males,45-49 years,D Public order and security offences,839
2021,December,Males,45-49 years,E Justice procedures offences,"2,431"
2021,December,Males,45-49 years,F Other offences,440
2021,December,Males,50-54 years,A Crimes against the person,"2,507"
2021,December,Males,50-54 years,B Property and deception offences,"1,380"
2021,December,Males,50-54 years,C Drug offences,479
2021,December,Males,50-54 years,D Public order and security offences,538
2021,December,Males,50-54 years,E Justice procedures offences,"1,691"
2021,December,Males,50-54 years,F Other offences,363
2021,December,Males,55-59 years,A Crimes against the person,"1,546"
2021,December,Males,55-59 years,B Property and deception offences,631
2021,December,Males,55-59 years,C Drug offences,242
2021,December,Males,55-59 years,D Public order and security offences,304
2021,December,Males,55-59 years,E Justice procedures offences,778
2021,December,Males,55-59 years,F Other offences,248
2021,December,Males,60-64 years,A Crimes against the person,805
2021,December,Males,60-64 years,B Property and deception offences,306
2021,December,Males,60-64 years,C Drug offences,108
2021,December,Males,60-64 years,D Public order and security offences,172
2021,December,Males,60-64 years,E Justice procedures offences,369
2021,December,Males,60-64 years,F Other offences,116
2021,December,Males,65 years and over,A Crimes against the person,"1,112"
2021,December,Males,65 years and over,B Property and deception offences,339
2021,December,Males,65 years and over,C Drug offences,73
2021,December,Males,65 years and over,D Public order and security offences,163
2021,December,Males,65 years and over,E Justice procedures offences,455
2021,December,Males,65 years and over,F Other offences,114
2020,December,Females,10-14 years,A Crimes against the person,572
2020,December,Females,10-14 years,B Property and deception offences,544
2020,December,Females,10-14 years,C Drug offences,24
2020,December,Females,10-14 years,D Public order and security offences,52
2020,December,Females,10-14 years,E Justice procedures offences,37
2020,December,Females,10-14 years,F Other offences,69
2020,December,Females,15-17 years,A Crimes against the person,"1,079"
2020,December,Females,15-17 years,B Property and deception offences,"1,347"
2020,December,Females,15-17 years,C Drug offences,150
2020,December,Females,15-17 years,D Public order and security offences,126
2020,December,Females,15-17 years,E Justice procedures offences,121
2020,December,Females,15-17 years,F Other offences,527
2020,December,Females,18-19 years,A Crimes against the person,549
2020,December,Females,18-19 years,B Property and deception offences,845
2020,December,Females,18-19 years,C Drug offences,224
2020,December,Females,18-19 years,D Public order and security offences,137
2020,December,Females,18-19 years,E Justice procedures offences,196
2020,December,Females,18-19 years,F Other offences,838
2020,December,Females,20-24 years,A Crimes against the person,"1,204"
2020,December,Females,20-24 years,B Property and deception offences,"1,709"
2020,December,Females,20-24 years,C Drug offences,776
2020,December,Females,20-24 years,D Public order and security offences,270
2020,December,Females,20-24 years,E Justice procedures offences,606
2020,December,Females,20-24 years,F Other offences,"2,020"
2020,December,Females,25-29 years,A Crimes against the person,"1,265"
2020,December,Females,25-29 years,B Property and deception offences,"2,271"
2020,December,Females,25-29 years,C Drug offences,819
2020,December,Females,25-29 years,D Public order and security offences,338
2020,December,Females,25-29 years,E Justice procedures offences,758
2020,December,Females,25-29 years,F Other offences,"1,490"
2020,December,Females,30-34 years,A Crimes against the person,"1,142"
2020,December,Females,30-34 years,B Property and deception offences,"2,030"
2020,December,Females,30-34 years,C Drug offences,657
2020,December,Females,30-34 years,D Public order and security offences,328
2020,December,Females,30-34 years,E Justice procedures offences,852
2020,December,Females,30-34 years,F Other offences,"1,118"
2020,December,Females,35-39 years,A Crimes against the person,935
2020,December,Females,35-39 years,B Property and deception offences,"1,848"
2020,December,Females,35-39 years,C Drug offences,541
2020,December,Females,35-39 years,D Public order and security offences,301
2020,December,Females,35-39 years,E Justice procedures offences,706
2020,December,Females,35-39 years,F Other offences,836
2020,December,Females,40-44 years,A Crimes against the person,851
2020,December,Females,40-44 years,B Property and deception offences,"1,127"
2020,December,Females,40-44 years,C Drug offences,383
2020,December,Females,40-44 years,D Public order and security offences,256
2020,December,Females,40-44 years,E Justice procedures offences,638
2020,December,Females,40-44 years,F Other offences,615
2020,December,Females,45-49 years,A Crimes against the person,725
2020,December,Females,45-49 years,B Property and deception offences,827
2020,December,Females,45-49 years,C Drug offences,232
2020,December,Females,45-49 years,D Public order and security offences,185
2020,December,Females,45-49 years,E Justice procedures offences,565
2020,December,Females,45-49 years,F Other offences,449
2020,December,Females,50-54 years,A Crimes against the person,480
2020,December,Females,50-54 years,B Property and deception offences,417
2020,December,Females,50-54 years,C Drug offences,134
2020,December,Females,50-54 years,D Public order and security offences,118
2020,December,Females,50-54 years,E Justice procedures offences,344
2020,December,Females,50-54 years,F Other offences,315
2020,December,Females,55-59 years,A Crimes against the person,298
2020,December,Females,55-59 years,B Property and deception offences,281
2020,December,Females,55-59 years,C Drug offences,56
2020,December,Females,55-59 years,D Public order and security offences,67
2020,December,Females,55-59 years,E Justice procedures offences,184
2020,December,Females,55-59 years,F Other offences,132
2020,December,Females,60-64 years,A Crimes against the person,140
2020,December,Females,60-64 years,B Property and deception offences,135
2020,December,Females,60-64 years,C Drug offences,31
2020,December,Females,60-64 years,D Public order and security offences,21
2020,December,Females,60-64 years,E Justice procedures offences,92
2020,December,Females,60-64 years,F Other offences,79
2020,December,Females,65 years and over,A Crimes against the person,143
2020,December,Females,65 years and over,B Property and deception offences,163
2020,December,Females,65 years and over,C Drug offences,23
2020,December,Females,65 years and over,D Public order and security offences,9
2020,December,Females,65 years and over,E Justice procedures offences,72
2020,December,Females,65 years and over,F Other offences,69
2020,December,Males,10-14 years,A Crimes against the person,"1,111"
2020,December,Males,10-14 years,B Property and deception offences,"1,649"
2020,December,Males,10-14 years,C Drug offences,65
2020,December,Males,10-14 years,D Public order and security offences,191
2020,December,Males,10-14 years,E Justice procedures offences,53
2020,December,Males,10-14 years,F Other offences,124
2020,December,Males,15-17 years,A Crimes against the person,"3,153"
2020,December,Males,15-17 years,B Property and deception offences,"4,567"
2020,December,Males,15-17 years,C Drug offences,597
2020,December,Males,15-17 years,D Public order and security offences,741
2020,December,Males,15-17 years,E Justice procedures offences,360
2020,December,Males,15-17 years,F Other offences,"1,270"
2020,December,Males,18-19 years,A Crimes against the person,"1,909"
2020,December,Males,18-19 years,B Property and deception offences,"2,911"
2020,December,Males,18-19 years,C Drug offences,895
2020,December,Males,18-19 years,D Public order and security offences,708
2020,December,Males,18-19 years,E Justice procedures offences,609
2020,December,Males,18-19 years,F Other offences,"2,230"
2020,December,Males,20-24 years,A Crimes against the person,"4,549"
2020,December,Males,20-24 years,B Property and deception offences,"6,266"
2020,December,Males,20-24 years,C Drug offences,"2,517"
2020,December,Males,20-24 years,D Public order and security offences,"1,706"
2020,December,Males,20-24 years,E Justice procedures offences,"2,188"
2020,December,Males,20-24 years,F Other offences,"5,722"
2020,December,Males,25-29 years,A Crimes against the person,"5,359"
2020,December,Males,25-29 years,B Property and deception offences,"7,191"
2020,December,Males,25-29 years,C Drug offences,"2,385"
2020,December,Males,25-29 years,D Public order and security offences,"1,949"
2020,December,Males,25-29 years,E Justice procedures offences,"2,898"
2020,December,Males,25-29 years,F Other offences,"4,919"
2020,December,Males,30-34 years,A Crimes against the person,"4,978"
2020,December,Males,30-34 years,B Property and deception offences,"6,873"
2020,December,Males,30-34 years,C Drug offences,"1,952"
2020,December,Males,30-34 years,D Public order and security offences,"1,700"
2020,December,Males,30-34 years,E Justice procedures offences,"3,170"
2020,December,Males,30-34 years,F Other offences,"3,680"
2020,December,Males,35-39 years,A Crimes against the person,"4,811"
2020,December,Males,35-39 years,B Property and deception offences,"5,854"
2020,December,Males,35-39 years,C Drug offences,"1,738"
2020,December,Males,35-39 years,D Public order and security offences,"1,596"
2020,December,Males,35-39 years,E Justice procedures offences,"3,394"
2020,December,Males,35-39 years,F Other offences,"3,079"
2020,December,Males,40-44 years,A Crimes against the person,"3,953"
2020,December,Males,40-44 years,B Property and deception offences,"3,890"
2020,December,Males,40-44 years,C Drug offences,"1,327"
2020,December,Males,40-44 years,D Public order and security offences,"1,365"
2020,December,Males,40-44 years,E Justice procedures offences,"2,721"
2020,December,Males,40-44 years,F Other offences,"2,409"
2020,December,Males,45-49 years,A Crimes against the person,"3,224"
2020,December,Males,45-49 years,B Property and deception offences,"2,667"
2020,December,Males,45-49 years,C Drug offences,811
2020,December,Males,45-49 years,D Public order and security offences,979
2020,December,Males,45-49 years,E Justice procedures offences,"2,274"
2020,December,Males,45-49 years,F Other offences,"1,652"
2020,December,Males,50-54 years,A Crimes against the person,"2,206"
2020,December,Males,50-54 years,B Property and deception offences,"1,313"
2020,December,Males,50-54 years,C Drug offences,509
2020,December,Males,50-54 years,D Public order and security offences,605
2020,December,Males,50-54 years,E Justice procedures offences,"1,406"
2020,December,Males,50-54 years,F Other offences,"1,084"
2020,December,Males,55-59 years,A Crimes against the person,"1,329"
2020,December,Males,55-59 years,B Property and deception offences,621
2020,December,Males,55-59 years,C Drug offences,263
2020,December,Males,55-59 years,D Public order and security offences,417
2020,December,Males,55-59 years,E Justice procedures offences,732
2020,December,Males,55-59 years,F Other offences,581
2020,December,Males,60-64 years,A Crimes against the person,748
2020,December,Males,60-64 years,B Property and deception offences,275
2020,December,Males,60-64 years,C Drug offences,81
2020,December,Males,60-64 years,D Public order and security offences,155
2020,December,Males,60-64 years,E Justice procedures offences,327
2020,December,Males,60-64 years,F Other offences,283
2020,December,Males,65 years and over,A Crimes against the person,"1,117"
2020,December,Males,65 years and over,B Property and deception offences,312
2020,December,Males,65 years and over,C Drug offences,74
2020,December,Males,65 years and over,D Public order and security offences,155
2020,December,Males,65 years and over,E Justice procedures offences,386
2020,December,Males,65 years and over,F Other offences,284
2019,December,Females,10-14 years,A Crimes against the person,667
2019,December,Females,10-14 years,B Property and deception offences,863
2019,December,Females,10-14 years,C Drug offences,34
2019,December,Females,10-14 years,D Public order and security offences,58
2019,December,Females,10-14 years,E Justice procedures offences,41
2019,December,Females,10-14 years,F Other offences,5
2019,December,Females,15-17 years,A Crimes against the person,"1,186"
2019,December,Females,15-17 years,B Property and deception offences,"1,481"
2019,December,Females,15-17 years,C Drug offences,123
2019,December,Females,15-17 years,D Public order and security offences,126
2019,December,Females,15-17 years,E Justice procedures offences,167
2019,December,Females,15-17 years,F Other offences,9
2019,December,Females,18-19 years,A Crimes against the person,478
2019,December,Females,18-19 years,B Property and deception offences,723
2019,December,Females,18-19 years,C Drug offences,178
2019,December,Females,18-19 years,D Public order and security offences,125
2019,December,Females,18-19 years,E Justice procedures offences,177
2019,December,Females,18-19 years,F Other offences,4
2019,December,Females,20-24 years,A Crimes against the person,"1,089"
2019,December,Females,20-24 years,B Property and deception offences,"2,059"
2019,December,Females,20-24 years,C Drug offences,610
2019,December,Females,20-24 years,D Public order and security offences,447
2019,December,Females,20-24 years,E Justice procedures offences,668
2019,December,Females,20-24 years,F Other offences,8
2019,December,Females,25-29 years,A Crimes against the person,"1,119"
2019,December,Females,25-29 years,B Property and deception offences,"2,351"
2019,December,Females,25-29 years,C Drug offences,632
2019,December,Females,25-29 years,D Public order and security offences,431
2019,December,Females,25-29 years,E Justice procedures offences,790
2019,December,Females,25-29 years,F Other offences,7
2019,December,Females,30-34 years,A Crimes against the person,"1,042"
2019,December,Females,30-34 years,B Property and deception offences,"2,149"
2019,December,Females,30-34 years,C Drug offences,510
2019,December,Females,30-34 years,D Public order and security offences,365
2019,December,Females,30-34 years,E Justice procedures offences,766
2019,December,Females,35-39 years,A Crimes against the person,982
2019,December,Females,35-39 years,B Property and deception offences,"1,726"
2019,December,Females,35-39 years,C Drug offences,403
2019,December,Females,35-39 years,D Public order and security offences,360
2019,December,Females,35-39 years,E Justice procedures offences,779
2019,December,Females,35-39 years,F Other offences,5
2019,December,Females,40-44 years,A Crimes against the person,837
2019,December,Females,40-44 years,B Property and deception offences,"1,172"
2019,December,Females,40-44 years,C Drug offences,253
2019,December,Females,40-44 years,D Public order and security offences,283
2019,December,Females,40-44 years,E Justice procedures offences,674
2019,December,Females,40-44 years,F Other offences,4
2019,December,Females,45-49 years,A Crimes against the person,718
2019,December,Females,45-49 years,B Property and deception offences,840
2019,December,Females,45-49 years,C Drug offences,211
2019,December,Females,45-49 years,D Public order and security offences,225
2019,December,Females,45-49 years,E Justice procedures offences,501
2019,December,Females,45-49 years,F Other offences,2
2019,December,Females,50-54 years,A Crimes against the person,421
2019,December,Females,50-54 years,B Property and deception offences,465
2019,December,Females,50-54 years,C Drug offences,105
2019,December,Females,50-54 years,D Public order and security offences,163
2019,December,Females,50-54 years,E Justice procedures offences,290
2019,December,Females,50-54 years,F Other offences,2
2019,December,Females,55-59 years,A Crimes against the person,229
2019,December,Females,55-59 years,B Property and deception offences,302
2019,December,Females,55-59 years,C Drug offences,40
2019,December,Females,55-59 years,D Public order and security offences,80
2019,December,Females,55-59 years,E Justice procedures offences,145
2019,December,Females,55-59 years,F Other offences,5
2019,December,Females,60-64 years,A Crimes against the person,133
2019,December,Females,60-64 years,B Property and deception offences,185
2019,December,Females,60-64 years,C Drug offences,23
2019,December,Females,60-64 years,D Public order and security offences,31
2019,December,Females,60-64 years,E Justice procedures offences,68
2019,December,Females,60-64 years,F Other offences,4
2019,December,Females,65 years and over,A Crimes against the person,115
2019,December,Females,65 years and over,B Property and deception offences,210
2019,December,Females,65 years and over,C Drug offences,9
2019,December,Females,65 years and over,D Public order and security offences,24
2019,December,Females,65 years and over,E Justice procedures offences,59
2019,December,Females,65 years and over,F Other offences,2
2019,December,Males,10-14 years,A Crimes against the person,"1,130"
2019,December,Males,10-14 years,B Property and deception offences,"1,784"
2019,December,Males,10-14 years,C Drug offences,76
2019,December,Males,10-14 years,D Public order and security offences,236
2019,December,Males,10-14 years,E Justice procedures offences,68
2019,December,Males,10-14 years,F Other offences,18
2019,December,Males,15-17 years,A Crimes against the person,"3,282"
2019,December,Males,15-17 years,B Property and deception offences,"4,975"
2019,December,Males,15-17 years,C Drug offences,549
2019,December,Males,15-17 years,D Public order and security offences,880
2019,December,Males,15-17 years,E Justice procedures offences,336
2019,December,Males,15-17 years,F Other offences,28
2019,December,Males,18-19 years,A Crimes against the person,"2,007"
2019,December,Males,18-19 years,B Property and deception offences,"2,980"
2019,December,Males,18-19 years,C Drug offences,874
2019,December,Males,18-19 years,D Public order and security offences,899
2019,December,Males,18-19 years,E Justice procedures offences,612
2019,December,Males,18-19 years,F Other offences,13
2019,December,Males,20-24 years,A Crimes against the person,"4,498"
2019,December,Males,20-24 years,B Property and deception offences,"6,494"
2019,December,Males,20-24 years,C Drug offences,"2,368"
2019,December,Males,20-24 years,D Public order and security offences,"2,164"
2019,December,Males,20-24 years,E Justice procedures offences,"2,235"
2019,December,Males,20-24 years,F Other offences,29
2019,December,Males,25-29 years,A Crimes against the person,"5,061"
2019,December,Males,25-29 years,B Property and deception offences,"7,523"
2019,December,Males,25-29 years,C Drug offences,"2,020"
2019,December,Males,25-29 years,D Public order and security offences,"2,311"
2019,December,Males,25-29 years,E Justice procedures offences,"2,797"
2019,December,Males,25-29 years,F Other offences,19
2019,December,Males,30-34 years,A Crimes against the person,"4,716"
2019,December,Males,30-34 years,B Property and deception offences,"6,802"
2019,December,Males,30-34 years,C Drug offences,"1,592"
2019,December,Males,30-34 years,D Public order and security offences,"1,962"
2019,December,Males,30-34 years,E Justice procedures offences,"2,851"
2019,December,Males,30-34 years,F Other offences,19
2019,December,Males,35-39 years,A Crimes against the person,"4,380"
2019,December,Males,35-39 years,B Property and deception offences,"5,388"
2019,December,Males,35-39 years,C Drug offences,"1,306"
2019,December,Males,35-39 years,D Public order and security offences,"1,979"
2019,December,Males,35-39 years,E Justice procedures offences,"2,929"
2019,December,Males,35-39 years,F Other offences,25
2019,December,Males,40-44 years,A Crimes against the person,"3,713"
2019,December,Males,40-44 years,B Property and deception offences,"3,831"
2019,December,Males,40-44 years,C Drug offences,913
2019,December,Males,40-44 years,D Public order and security offences,"1,472"
2019,December,Males,40-44 years,E Justice procedures offences,"2,678"
2019,December,Males,40-44 years,F Other offences,22
2019,December,Males,45-49 years,A Crimes against the person,"3,125"
2019,December,Males,45-49 years,B Property and deception offences,"2,622"
2019,December,Males,45-49 years,C Drug offences,723
2019,December,Males,45-49 years,D Public order and security offences,"1,073"
2019,December,Males,45-49 years,E Justice procedures offences,"2,141"
2019,December,Males,45-49 years,F Other offences,31
2019,December,Males,50-54 years,A Crimes against the person,"2,027"
2019,December,Males,50-54 years,B Property and deception offences,"1,246"
2019,December,Males,50-54 years,C Drug offences,397
2019,December,Males,50-54 years,D Public order and security offences,734
2019,December,Males,50-54 years,E Justice procedures offences,"1,183"
2019,December,Males,50-54 years,F Other offences,13
2019,December,Males,55-59 years,A Crimes against the person,"1,152"
2019,December,Males,55-59 years,B Property and deception offences,587
2019,December,Males,55-59 years,C Drug offences,224
2019,December,Males,55-59 years,D Public order and security offences,424
2019,December,Males,55-59 years,E Justice procedures offences,638
2019,December,Males,55-59 years,F Other offences,13
2019,December,Males,60-64 years,A Crimes against the person,672
2019,December,Males,60-64 years,B Property and deception offences,468
2019,December,Males,60-64 years,C Drug offences,96
2019,December,Males,60-64 years,D Public order and security offences,202
2019,December,Males,60-64 years,E Justice procedures offences,320
2019,December,Males,60-64 years,F Other offences,7
2019,December,Males,65 years and over,A Crimes against the person,"1,059"
2019,December,Males,65 years and over,B Property and deception offences,335
2019,December,Males,65 years and over,C Drug offences,55
2019,December,Males,65 years and over,D Public order and security offences,177
2019,December,Males,65 years and over,E Justice procedures offences,378
2019,December,Males,65 years and over,F Other offences,11
2018,December,Females,10-14 years,A Crimes against the person,502
2018,December,Females,10-14 years,B Property and deception offences,824
2018,December,Females,10-14 years,C Drug offences,26
2018,December,Females,10-14 years,D Public order and security offences,56
2018,December,Females,10-14 years,E Justice procedures offences,56
2018,December,Females,10-14 years,F Other offences,2
2018,December,Females,15-17 years,A Crimes against the person,995
2018,December,Females,15-17 years,B Property and deception offences,"1,491"
2018,December,Females,15-17 years,C Drug offences,116
2018,December,Females,15-17 years,D Public order and security offences,134
2018,December,Females,15-17 years,E Justice procedures offences,139
2018,December,Females,15-17 years,F Other offences,2
2018,December,Females,18-19 years,A Crimes against the person,369
2018,December,Females,18-19 years,B Property and deception offences,611
2018,December,Females,18-19 years,C Drug offences,183
2018,December,Females,18-19 years,D Public order and security offences,154
2018,December,Females,18-19 years,E Justice procedures offences,144
2018,December,Females,18-19 years,F Other offences,2
2018,December,Females,20-24 years,A Crimes against the person,"1,055"
2018,December,Females,20-24 years,B Property and deception offences,"1,853"
2018,December,Females,20-24 years,C Drug offences,609
2018,December,Females,20-24 years,D Public order and security offences,462
2018,December,Females,20-24 years,E Justice procedures offences,702
2018,December,Females,20-24 years,F Other offences,5
2018,December,Females,25-29 years,A Crimes against the person,"1,118"
2018,December,Females,25-29 years,B Property and deception offences,"2,463"
2018,December,Females,25-29 years,C Drug offences,633
2018,December,Females,25-29 years,D Public order and security offences,441
2018,December,Females,25-29 years,E Justice procedures offences,812
2018,December,Females,25-29 years,F Other offences,6
2018,December,Females,30-34 years,A Crimes against the person,"1,047"
2018,December,Females,30-34 years,B Property and deception offences,"2,142"
2018,December,Females,30-34 years,C Drug offences,496
2018,December,Females,30-34 years,D Public order and security offences,432
2018,December,Females,30-34 years,E Justice procedures offences,790
2018,December,Females,30-34 years,F Other offences,6
2018,December,Females,35-39 years,A Crimes against the person,855
2018,December,Females,35-39 years,B Property and deception offences,"1,629"
2018,December,Females,35-39 years,C Drug offences,392
2018,December,Females,35-39 years,D Public order and security offences,356
2018,December,Females,35-39 years,E Justice procedures offences,697
2018,December,Females,35-39 years,F Other offences,5
2018,December,Females,40-44 years,A Crimes against the person,791
2018,December,Females,40-44 years,B Property and deception offences,"1,208"
2018,December,Females,40-44 years,C Drug offences,280
2018,December,Females,40-44 years,D Public order and security offences,309
2018,December,Females,40-44 years,E Justice procedures offences,639
2018,December,Females,40-44 years,F Other offences,4
2018,December,Females,45-49 years,A Crimes against the person,621
2018,December,Females,45-49 years,B Property and deception offences,789
2018,December,Females,45-49 years,C Drug offences,195
2018,December,Females,45-49 years,D Public order and security offences,235
2018,December,Females,45-49 years,E Justice procedures offences,474
2018,December,Females,45-49 years,F Other offences,9
2018,December,Females,50-54 years,A Crimes against the person,391
2018,December,Females,50-54 years,B Property and deception offences,412
2018,December,Females,50-54 years,C Drug offences,98
2018,December,Females,50-54 years,D Public order and security offences,165
2018,December,Females,50-54 years,E Justice procedures offences,275
2018,December,Females,50-54 years,F Other offences,6
2018,December,Females,55-59 years,A Crimes against the person,199
2018,December,Females,55-59 years,B Property and deception offences,254
2018,December,Females,55-59 years,C Drug offences,41
2018,December,Females,55-59 years,D Public order and security offences,53
2018,December,Females,55-59 years,E Justice procedures offences,140
2018,December,Females,55-59 years,F Other offences,2
2018,December,Females,60-64 years,A Crimes against the person,112
2018,December,Females,60-64 years,B Property and deception offences,140
2018,December,Females,60-64 years,C Drug offences,14
2018,December,Females,60-64 years,D Public order and security offences,14
2018,December,Females,60-64 years,E Justice procedures offences,53
2018,December,Females,65 years and over,A Crimes against the person,126
2018,December,Females,65 years and over,B Property and deception offences,178
2018,December,Females,65 years and over,C Drug offences,4
2018,December,Females,65 years and over,D Public order and security offences,20
2018,December,Females,65 years and over,E Justice procedures offences,56
2018,December,Females,65 years and over,F Other offences,2
